Station	Lat	Long	Cast_ID	Datetime_in	Datetime_out	sample_id	Niskin	Talkumolk	pHp0T25S	DICAlkpH0	Depthm	TempC	S	Oca	Oar	Rateggd	Rategcm2d	Rateerrorggd	Rateerrorgcm2d	logrategcm2d	lograteerrorgcm2d	Oca_corr	Rs
3	35.267	-150.983	HW	20170813_2120	20170815_0658	ehuxleyi	2	2306.0	7.339	2301.3	635	4.777	34.055	0.884	0.562	1.814E-03	1.728E-08	7.179E-04	6.845E-09	-7.762	0.172	0.00	0.92
3	35.267	-150.983	HW	20170813_2120	20170815_0658	ehuxleyi	6	2339.4	7.284	2354.0	810	3.963	34.199	0.751	0.478	2.609E-03	2.483E-08	4.654E-04	4.424E-09	-7.605	0.078	0.00	0.92
4	41.716	-148.3	FA	20170816_2115	20170817_2305	ehuxleyi	7	2321.6	7.310	2327.5	650	4.278	34.107	0.825	0.524	2.630E-03	2.504E-08	5.927E-04	5.635E-09	-7.601	0.098	0.00	0.92
4	41.716	-148.3	FA	20170816_2115	20170817_2305	ehuxleyi	9	2331.4	7.298	2341.3	710	4.111	34.149	0.793	0.504	2.379E-03	2.275E-08	6.177E-04	5.885E-09	-7.643	0.112	0.00	0.92
4	41.716	-148.3	FA	20170816_2115	20170817_2305	ehuxleyi	10	2333.8	7.294	2344.9	725	4.049	34.163	0.783	0.498	3.318E-03	3.151E-08	5.677E-04	5.405E-09	-7.502	0.074	0.00	0.92
4	41.716	-148.3	FA	20170816_2115	20170817_2305	ehuxleyi	11	2333.4	7.293	2344.8	740	4.014	34.170	0.779	0.495	2.567E-03	2.463E-08	5.802E-04	5.510E-09	-7.609	0.098	0.00	0.92
4	41.716	-148.3	HW	20170817_2359	20170819_1200	ehuxleyi	1	2305.6	7.363	2293.9	550	4.743	34.014	0.959	0.608	1.935E-03	1.843E-08	6.282E-04	5.990E-09	-7.735	0.141	0.00	0.92
4	41.716	-148.3	HW	20170817_2359	20170819_1200	ehuxleyi	3	2320.3	7.326	2320.8	630	4.326	34.093	0.863	0.548	2.233E-03	2.129E-08	4.007E-04	3.819E-09	-7.672	0.078	0.00	0.92
4	41.716	-148.3	HW	20170817_2359	20170819_1200	ehuxleyi	5	2327.4	7.302	2336.1	685	4.173	34.137	0.803	0.510	2.275E-03	2.170E-08	4.445E-04	4.237E-09	-7.663	0.085	0.00	0.92
4	41.716	-148.3	HW	20170817_2359	20170819_1200	ehuxleyi	9	2384.3	7.284	2399.3	1070	3.059	34.354	0.715	0.456	3.736E-03	3.548E-08	4.529E-04	4.299E-09	-7.450	0.053	0.00	0.92
4	41.716	-148.3	HW	20170817_2359	20170819_1200	ehuxleyi	11	2399.0	7.299	2408.5	1510	2.431	34.498	0.672	0.431	5.551E-03	5.301E-08	1.064E-03	1.014E-08	-7.276	0.083	0.00	0.92
5	49.683	-155.283	FA	20170821_0950	20170823_1859	ehuxleyi	7	2343.7	7.260	2366.6	630	3.539	34.218	0.735	0.467	2.648E-03	2.525E-08	3.490E-04	3.318E-09	-7.598	0.057	0.00	0.92
5	49.683	-155.283	FA	20170821_0950	20170823_1859	ehuxleyi	3	2327.6	7.244	2356.3	420	3.815	34.057	0.735	0.465	2.143E-03	2.041E-08	3.539E-04	3.360E-09	-7.690	0.072	0.00	0.92
5	49.683	-155.283	FA	20170821_0950	20170823_1859	ehuxleyi	1	2284.6	7.258	2308.1	245	3.746	33.833	0.775	0.489	2.412E-03	2.296E-08	2.448E-04	2.337E-09	-7.639	0.044	0.00	0.92
5	49.683	-155.283	HW3	20170824_2211	20170826_0800	ehuxleyi	4	2277.1	7.298	2287.2	173.1	3.652	33.719	0.868	0.547	1.575E-03	1.501E-08	6.570E-04	6.261E-09	-7.824	0.181	0.00	0.92
5	49.683	-155.283	HW3	20170824_2211	20170826_0800	ehuxleyi	6	2279.7	7.282	2295.1	183	3.666	33.738	0.833	0.525	1.500E-03	1.427E-08	5.702E-04	5.426E-09	-7.845	0.165	0.00	0.92
5	49.683	-155.283	HW3	20170824_2211	20170826_0800	ehuxleyi	9	2283.9	7.277	2301.1	198.2	3.682	33.777	0.821	0.518	2.023E-03	1.926E-08	5.709E-04	5.447E-09	-7.715	0.123	0.00	0.92
5	49.683	-155.283	FA	20170821_0950	20170823_1859	ehuxleyi_orig	5	2336.7	7.245	2364.8	550	3.662	34.167	0.719	0.456	4.379E-03	4.179E-08	1.271E-04	1.208E-09	-7.379	0.029	0.00	20.00
4	41.716	-148.3	HW	20170817_2359	20170819_1200	planktic_assemblage	8	2368.7	7.242	2398.4	1060	3.075	34.351	0.640	0.408	5.167E-03	1.200E-07	4.717E-04	1.098E-08	-6.921	0.092	0.06	1.50
