Latitude,Longitude,Depth,Pressure,InSitu_Temperature,Salinity+0.001,Doxy,Year,Month,NO3,PO4,SiOH4,TA,DIC,pH_insitu
22.75,-158,350.8866,353.40524409016,10.8621671189715,34.1968985586565,191.020580700553,1993,2,15.3274586859315,1.12975537866239,16.6757134171583,2262.9026866189,2100.11934181985,7.9804816566372
22.75,-158,449.07863,452.410063025384,8.19295973169462,34.0899586042466,154.528606890078,1993,2,24.0575911460199,1.75718592160913,34.4675410010957,2271.29526279557,2161.86095204928,7.87132266544401
22.75,-158,501.66599,505.452078480355,7.13606677954446,34.0779328223107,121.71253437659,1993,6,29.1073418188994,2.13560412911692,46.770340857877,2281.49542029853,2203.51214955064,7.78683621668397
22.75,-158,549.66101,553.873824530142,6.38139653081794,34.1018678646668,90.7685949570829,1993,2,33.3897282051809,2.44434725546956,58.996173809884,2292.06080571007,2239.48565771793,7.71518518609559
22.75,-158,550.02318,554.239257294559,6.37679627867173,34.1021046153202,90.5498307781665,1993,6,33.4174766768433,2.44637773438035,59.0821810679429,2292.14142244146,2239.85864505627,7.71431113057853
22.75,-158,601.61094,606.298297308077,5.83195301913381,34.153948904292,61.4196433887207,1993,6,36.8737716599519,2.70759495795734,70.8522355502327,2303.67855991899,2272.0921596868,7.65165576007228
22.75,-158,624.89135,629.795630253649,5.62061936825996,34.1807678569064,50.6235404466538,1993,2,38.1493284038246,2.8064467815392,75.6962070719225,2309.10371441172,2284.63110404129,7.62991957542929
22.75,-158,650.86632,656.015744727508,5.41785997755822,34.2118087465397,41.4162519789468,1993,6,39.2899057274665,2.89402649355743,80.460864936778,2315.179659529,2296.54369122917,7.61231996653587
22.75,-158,699.81747,705.437804263381,5.13428370851588,34.2695802588203,32.0194308007772,1993,6,40.6481356549702,2.99442603446993,87.3514632072478,2325.79622629922,2311.76469061307,7.59826606430063
22.75,-158,747.71107,753.803415728637,4.93157376217743,34.3219609167682,29.7219595892207,1993,2,41.3115274006709,3.03814827048942,92.1288291402875,2334.88939082763,2320.32215974091,7.59955672988458
22.75,-158,750.07243,756.188336245787,4.92168463403978,34.3244756975638,29.6620496444789,1993,6,41.3396262077496,3.03987189732423,92.3547650395002,2335.37861934235,2320.7932508618,7.59956118357412
22.75,-158,848.1196,855.237673349889,4.50656709146504,34.4083172642763,31.492472001527,1993,6,42.1008338126559,3.07718874455045,101.217741888846,2351.49055035525,2332.96001118999,7.61269791404127
22.75,-158,978.51596,987.039071679202,4.09767077012045,34.4851491298649,40.6087099698512,1993,2,42.1250291074753,3.06369306695756,109.445543423981,2366.62295378712,2339.86614262839,7.6392267413113
22.75,-158,999.02938,1007.78102148605,4.04564550096876,34.4920303484679,42.1501283363934,1993,6,42.0793752959683,3.05905431884876,110.444975177578,2368.30025804928,2340.43030243624,7.64261666648511
29.98,175,1668,1686.21118061619,2.27205799286209,34.5547385026976,54.0543479908403,2001,9,42.2575667303566,3.01193491647788,156.189184192752,2406.7306873166,2379.18227214414,7.63787277883183
29.98,175,1934,1956.35667754787,1.99096863149311,34.5992074046553,74.9213809554512,2001,9,40.953448956336,2.9069507067058,159.569710590961,2414.38990505522,2372.24675415869,7.67744451595181
29.98,175,2208,2234.97938402624,1.78517071927595,34.624508558071,92.1116582247529,2001,9,39.9370281677448,2.82245368250417,161.033348478908,2418.69914644496,2364.88371914297,7.70590196548512
29.98,175,2472,2503.77021073119,1.67255474292778,34.6428524009127,106.92813005129,2001,9,39.0374403343434,2.74973948568389,159.58782235254,2420.37906432073,2356.42812655394,7.72823664786858
29.98,175,2745,2782.07038401737,1.59301666430405,34.6572630244741,119.578624151608,2001,9,38.2345864689419,2.68674409103675,157.475771896596,2420.91516663087,2348.43790371681,7.74436769316444
29.98,175,3010,3052.55016517417,1.53567710978989,34.6667731364525,129.793669969886,2001,9,37.5682505274615,2.63476456660976,155.228791734388,2420.51513810717,2341.47764507439,7.75424912671335
29.98,175,3279,3327.44850385745,1.49496993234261,34.6746552954657,137.248742993093,2001,9,37.068375827625,2.59632824755879,153.574502290394,2420.17359108086,2336.37496143234,7.75796267087749
29.98,175,3381,3431.77318894171,1.48509322834232,34.6758422782241,139.772736793463,2001,9,36.9021736146946,2.58322862366451,152.801914370532,2419.70297852794,2334.47351548895,7.75829039705678
29.98,175,3489,3542.28729478752,1.47674258223644,34.6781667231659,142.178010228127,2001,9,36.7360731527615,2.57053356481448,152.071424821123,2419.39287769732,2332.68702763956,7.75824836296211
29.98,175,3597,3652.85547712727,1.4678295400014,34.6800350518258,144.462265161501,2001,9,36.580579073784,2.55852550255635,151.385457160499,2419.03846337116,2330.99246366587,7.75776096772061
29.98,175,3704,3762.45310449352,1.46519528467198,34.6820722300762,146.685625064767,2001,9,36.4214110408181,2.54641933479043,150.472826536271,2418.55660119802,2329.18194244048,7.75711536003176
