Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13
3087.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010591780821917808,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3162.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3225.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.526027397260274e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3300.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3375.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00023942465753424655,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3450.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.827397260273973e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3525.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010591780821917808,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3587.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0002026027397260274,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3662.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.000174986301369863,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3725.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0001887945205479452,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3812.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,8.287671232876712e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3875.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00038219178082191785,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3950.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0004236164383561644,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4012.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00048808219178082194,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4087.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00040060273972602735,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4162.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.000221013698630137,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4225.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0009163013698630138,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4300.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0010222191780821918,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4362.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0002900821917808219,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4437.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00046506849315068496,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4500.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0005018904109589041,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4562.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0020352328767123287,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4650.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0004328219178082192,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4712.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00027167123287671235,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4787.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0006768767123287671,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4850.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0013675616438356163,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4925.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0005341369863013698,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
4987.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.001211013698630137,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
255.47445,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,-0.008815454545454545,,,,,,,,,,,,
742.09246,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.01763082644628099,,,,,,,,,,,,
